Poverty line,Year,World (Observed),World,East Asia & Pacific (Observed),East Asia & Pacific,Europe & Central Asia (Observed),Europe & Central Asia,Latin America & Caribbean (Observed),Latin America & Caribbean,"Middle East, North Africa, Afghanistan & Pakistan (Observed)","Middle East, North Africa, Afghanistan & Pakistan",North America (Observed),North America,South Asia (Observed),South Asia,Sub-Saharan Africa (Observed),Sub-Saharan Africa,Eastern & Southern Africa (Observed),Eastern & Southern Africa,Western & Central Africa (Observed),Western & Central Africa
$4.20 (2021 PPP),1995,53.535309780811204,NA,69.32145912729416,NA,11.891183970171236,NA,28.782464018063596,NA,42.04307517853142,NA,0.7383290855688522,NA,75.08813372961026,NA,76.17505653900464,NA,75.54379641142846,NA,77.1137271520416,NA
$4.20 (2021 PPP),1996,52.74513384181165,NA,66.73091099471733,NA,12.589760077697512,NA,29.85696730959655,NA,40.32284756512084,NA,0.6901125929452764,NA,74.82124136056616,74.82124136056616,75.84778460393493,NA,75.03162364339016,75.03162364339016,77.06048443379987,NA
$4.20 (2021 PPP),1997,52.18191116611357,NA,65.74103815413163,NA,11.45128631884145,NA,29.25190053635936,NA,39.49396032080729,NA,0.7337826686247292,NA,NA,74.5825148919165,75.72365108127886,NA,NA,74.94970067010351,76.87184559205117,NA
$4.20 (2021 PPP),1998,52.17105483864955,NA,65.61609208374675,NA,11.784318455246394,NA,28.633832921129855,NA,38.73857993422878,NA,0.8488694047686305,NA,NA,74.36404968602339,75.90790023775993,NA,75.45019047186513,NA,76.58577660375212,NA
$4.20 (2021 PPP),1999,52.116032503290285,NA,63.97421853156159,NA,14.703543098125452,NA,29.31707424111016,NA,38.52479470741314,NA,0.712266737793723,NA,NA,74.00527249068392,76.00324275605342,NA,75.71434150414272,NA,76.43064555308408,76.43064555308408
$4.20 (2021 PPP),2000,50.935073863540424,NA,61.69900275463088,NA,12.733486186809845,NA,27.385956712756045,NA,38.49844917043953,NA,0.7512082879048597,NA,NA,73.77096674696494,75.6716475856053,NA,75.39749819152956,NA,NA,76.07659442271613
$4.20 (2021 PPP),2001,49.98640576050385,NA,59.19876677842741,NA,11.519693332398772,NA,27.23082927091346,NA,39.117852931359074,39.117852931359074,0.9330653415263993,NA,NA,73.65261851385524,74.9550635644663,NA,74.79548682744677,NA,75.19027351882643,NA
$4.20 (2021 PPP),2002,48.64769629570243,NA,55.71675680935139,NA,10.32389251088855,NA,26.823976504196732,NA,NA,38.72789986538566,0.8729833623582037,NA,73.49017696853728,NA,74.69064120024883,NA,75.50016990283828,NA,73.4998465300636,NA
$4.20 (2021 PPP),2003,47.23893000861617,NA,52.28027032561886,NA,9.712094671269314,NA,25.884880861087638,NA,37.44921158562682,NA,0.9956433059156155,NA,73.10579449719535,NA,74.28414452561142,NA,75.37545078204212,NA,72.68199169902782,NA
$4.20 (2021 PPP),2004,45.51176002119156,NA,49.32702519651133,NA,8.258329600747302,NA,24.318634603237914,NA,34.97247340024337,NA,1.0392366387590908,NA,72.56625694058486,NA,72.34948596034441,NA,73.20315226554001,NA,71.09855752704289,NA
$4.20 (2021 PPP),2005,43.73769889469127,NA,45.59344079001542,NA,7.7789499512488,NA,22.74117596612616,NA,34.158443066866035,NA,1.0025058043991664,NA,71.39411868891507,NA,71.01368604080184,NA,71.56721856318798,NA,70.20402934648585,NA
$4.20 (2021 PPP),2006,42.215359358378855,NA,43.64026336703334,NA,6.724913258360587,NA,19.80437655951251,NA,33.18905709338441,NA,1.0091084246762723,NA,69.56578355054197,NA,69.77436982608792,NA,70.05281920664636,NA,69.36771573792649,69.36771573792649
$4.20 (2021 PPP),2007,40.52272920167825,NA,40.505612988398084,NA,5.986984410398428,NA,18.274720670401823,NA,32.31176456281128,NA,0.9852408480837592,NA,67.65353947306674,NA,69.02389858730123,NA,69.27922098172971,NA,NA,68.6515060836541
$4.20 (2021 PPP),2008,39.27515622235801,NA,38.426116402659346,NA,5.328549353881519,NA,17.108746870150924,NA,30.418973917979645,NA,1.0651152654234195,NA,66.68902834487078,NA,67.923370584758,NA,68.43198493784155,NA,67.18230648015297,NA
$4.20 (2021 PPP),2009,38.091801581326884,NA,35.849008631687866,NA,5.282630982998969,NA,16.56520541207977,NA,30.41669507291121,NA,0.9452951521360076,NA,64.97358150104989,NA,67.50804474733958,NA,68.3017221912531,NA,66.35227386379292,NA
$4.20 (2021 PPP),2010,35.831893416684345,NA,32.332931998189004,NA,5.24472559840919,NA,14.988055697628802,NA,28.403814985678782,NA,1.090224292695292,NA,61.14345223266089,NA,66.29195190232004,NA,67.46064669494864,NA,64.59096498531069,NA
$4.20 (2021 PPP),2011,33.766632220946605,NA,28.698742767248973,NA,5.079902284286208,NA,13.749852582162767,NA,27.627070595198056,NA,1.0760259871542281,NA,57.601772807451766,NA,65.47166614565467,NA,66.67178526857525,NA,63.72735540912737,NA
$4.20 (2021 PPP),2012,32.088046680548146,NA,25.716485341538043,NA,5.074936055946299,NA,13.063183881786994,NA,26.492329988819417,NA,1.071297489740857,NA,54.8445905747864,NA,64.57079450714816,NA,66.15332616040924,NA,62.272684493855955,NA
$4.20 (2021 PPP),2013,29.355304100083224,NA,20.244895410284975,NA,2.491125169472659,NA,12.28228675877058,NA,25.65371649333588,NA,1.0890081039050652,NA,52.20144957691689,NA,63.640396094680675,NA,65.57618175997641,NA,60.82881980660322,NA
$4.20 (2021 PPP),2014,27.939924627730356,NA,17.941720022458547,NA,2.626029973917142,NA,11.792137811522466,NA,25.31163059922099,NA,1.2673780048382515,NA,48.95736735622531,48.95736735622531,62.930967405753535,NA,65.13024026605045,NA,59.73753384712652,NA
$4.20 (2021 PPP),2015,26.30889580504444,NA,15.342011339297917,NA,2.568470575743225,NA,10.91526290053463,NA,24.889045257502666,NA,1.1919088000035878,NA,NA,45.24405725685556,62.55867724053507,NA,64.98131592696915,NA,59.040996376889865,NA
$4.20 (2021 PPP),2016,24.903744463860136,NA,13.240268843210826,NA,2.2186519695516194,NA,10.989630904203809,NA,25.064214114784058,NA,1.1251545304057322,NA,NA,41.275898762199695,62.32706103449927,NA,65.32103133075931,NA,57.98120270923349,NA
$4.20 (2021 PPP),2017,23.707507759610973,NA,11.8768366529344,NA,2.127461512032375,NA,10.759616465723525,NA,24.800885395252216,NA,1.2371733503952744,NA,NA,37.33946522299764,62.06315280987687,NA,66.10123650128921,NA,56.20080086017798,NA
$4.20 (2021 PPP),2018,22.41386537346554,22.41386537346554,10.078893981087637,NA,1.8415320331483913,NA,10.577640135636114,NA,24.814435520397232,NA,1.0797077800726744,NA,NA,33.553663506003026,61.8124568803828,NA,66.75847330039755,66.75847330039755,54.617577714980506,NA
$4.20 (2021 PPP),2019,NA,21.530268782644917,8.21817185919004,NA,1.7489930944070013,NA,10.556043004331642,NA,25.284978893458398,25.284978893458398,0.9632467445898957,NA,NA,31.20251256655499,61.853065823752104,NA,NA,67.53329988109496,53.56682985463508,NA
$4.20 (2021 PPP),2020,22.131109387412774,NA,7.520070941311398,NA,1.83619290415991,NA,10.212942214679742,NA,NA,26.24318383687183,0.3884100302339279,NA,32.63479919312531,NA,64.0168458271805,NA,69.36129294338454,NA,56.19621761197116,NA
$4.20 (2021 PPP),2021,21.386136364916293,NA,6.541125808225891,NA,1.5736275241733482,NA,10.772679231732344,NA,NA,25.66825425368472,0.4074049229108591,NA,29.495589355660005,NA,64.50237776012513,NA,69.80986078518218,NA,56.713626051414366,NA
$4.20 (2021 PPP),2022,20.494989176497032,NA,6.469178804743036,NA,1.4428825082991596,NA,9.1920597933452175,NA,NA,24.928748873862038,1.2706284696512722,NA,25.43054048567526,NA,64.38608031242879,NA,69.43018995881106,NA,56.964523231162204,NA
$4.20 (2021 PPP),2023,19.592579079196113,19.592579079196113,5.841237925911997,5.841237925911997,1.2357350570445746,1.2357350570445746,8.659254185438076,8.659254185438076,NA,24.739457290002925,1.1385634477767885,1.1385634477767885,21.41540021715156,21.41540021715156,64.66839686939424,64.66839686939424,69.79563180487548,69.79563180487548,57.114372965352786,57.114372965352786
$4.20 (2021 PPP),2024,18.915983505373557,18.915983505373557,5.50531975257772,5.50531975257772,1.0873426921925249,1.0873426921925249,8.313411565905586,8.313411565905586,NA,24.865980196745994,1.1280231022742986,1.1280231022742986,18.3781186298093,18.3781186298093,64.19163207659213,64.19163207659213,NA,69.54422380108012,56.29971272950407,56.29971272950407
$4.20 (2021 PPP),2025,NA,18.36534362189895,NA,5.283177070407288,NA,1.0247821133612875,NA,8.173659354880156,NA,24.61417806352305,NA,1.12320640249223,NA,15.991869784293755,NA,63.44409110447082,NA,68.83792941728345,NA,55.47507590586556
$8.30 (2021 PPP),1990,70.35683164538688,NA,85.55177389764587,NA,20.906972739671982,NA,57.431762663910554,NA,74.33227168692906,NA,1.4997312810538752,NA,96.93754900224309,NA,90.5359135391374,NA,NA,89.28303734529095,92.39968172248352,NA
$8.30 (2021 PPP),1991,70.7221719678986,NA,85.34011976565283,NA,22.37699856311735,NA,57.09060784083576,NA,74.87529732643267,NA,1.6537112842807882,NA,97.04124969138147,NA,90.79540997024365,NA,NA,89.49783437555962,92.7277524757556,NA
$8.30 (2021 PPP),1992,71.14074025179674,NA,85.0807402765286,NA,24.781473164723103,NA,57.49736271844355,NA,73.8547759364471,NA,1.8388943406297418,NA,97.04596085565169,NA,91.08400036754723,NA,NA,89.91234389554324,92.8271600340629,NA
$8.30 (2021 PPP),1993,71.6953723215949,NA,84.77353412905279,NA,28.131263637654335,NA,57.17839626994159,NA,73.67133207613912,NA,1.8077779688664888,NA,96.98785565234984,NA,91.70847209386584,NA,90.88721295756864,NA,92.93115907810608,NA
$8.30 (2021 PPP),1994,71.82777903687617,NA,84.21876243469843,NA,30.33723281897155,NA,55.99638165625087,NA,73.37915974245092,NA,1.7034886037788082,NA,96.83438856659838,NA,91.81361615011942,NA,90.98643909205276,NA,93.04517153808744,NA
$8.30 (2021 PPP),1995,71.22596294735943,NA,83.81456891341298,NA,27.230833893768462,NA,55.141081927800506,NA,73.50142499985198,NA,1.6084637423536914,NA,96.60705119475048,NA,91.65884237710222,NA,90.68649727610662,NA,93.10469921513743,NA
$8.30 (2021 PPP),1996,71.31013478198916,NA,83.0139426236973,NA,29.276731513858795,NA,55.915834070679104,NA,72.45447046516736,NA,1.4526253892771366,NA,96.45082793096023,96.45082793096023,91.3821006163589,NA,90.39125722995436,90.39125722995436,92.85435384115601,NA
$8.30 (2021 PPP),1997,70.87040146488323,NA,82.58953674489064,NA,27.7468758037553,NA,54.85639942370312,NA,71.37031377856079,NA,1.5954211994873706,NA,NA,96.32176028687118,91.28803973004071,NA,NA,90.19996706980207,92.90225045694007,NA
